the,19030
of,11245
in,8343
and,7191
to,6892
a,4528
is,4051
that,3320
capital,2366
income,2156
for,2099
as,2094
it,1981
on,1967
percent,1935
this,1678
wealth,1508
by,1393
or,1383
be,1373
was,1299
than,1280
which,1249
are,1242
with,1199
from,1196
not,1187
more,1176
at,1128
s,932
national,908
countries,883
tax,870
one,850
have,805
1,803
but,789
century,786
i,772
see,770
an,743
rate,741
growth,728
all,671
inequality,666
will,662
we,659
if,628
france,624
these,606
other,599
5,596
would,590
between,587
can,585
top,579
has,573
no,570
their,570
very,568
world,549
states,542
2,500
united,500
return,486
such,478
first,474
public,467
average,463
even,461
so,453
also,447
about,447
much,445
share,445
were,444
only,428
over,422
social,414
figure,412
10,410
there,404
less,404
labor,397
what,394
europe,393
total,387
two,387
years,386
long,386
year,385
2010,384
private,383
its,381
when,379
they,377
most,373
since,369
3,353
same,353
time,352
assets,350
us,348
data,343
been,341
economic,338
period,337
global,327
high,325
fact,325
britain,324
some,318
nineteenth,317
euros,316
had,314
increase,314
level,313
financial,311
4,311
distribution,307
case,303
any,302
country,292
who,292
example,290
then,288
well,288
000,287
ratio,284
per,281
online,278
large,276
may,276
important,276
population,276
because,271
today,269
debt,268
wage,263
twentieth,262
value,259
inheritance,258
people,257
society,255
part,255
many,254
both,253
his,251
technical,250
real,249
especially,249
new,246
do,244
war,243
estate,242
way,240
appendix,233
however,233
european,232
different,232
each,231
twenty,231
particular,230
million,228
6,228
government,226
historical,226
0,226
political,222
after,221
available,221
inflation,220
possible,219
higher,219
quite,218
sources,218
just,217
8,215
rates,213
50,210
run,207
always,205
he,205
up,204
20,203
greater,203
should,202
order,202
times,201
how,200
30,200
around,197
low,197
r,197
incomes,197
taxes,196
g,191
those,190
stock,190
9,190
rich,189
series,188
fortunes,187
generally,186
often,186
half,186
without,185
question,184
net,183
annual,183
own,183
where,181
germany,181
output,180
three,180
did,180
centile,177
why,177
pay,175
therefore,174
during,174
french,173
work,172
progressive,169
inherited,169
rather,168
out,168
7,167
point,167
increased,166
state,166
interest,166
far,159
wages,158
savings,158
least,158
note,157
foreign,157
evolution,157
certain,156
individuals,155
role,155
decile,155
nearly,154
land,152
system,152
history,152
rise,150
past,149
central,149
does,149
must,149
market,148
early,148
them,147
could,146
law,146
little,145
owned,144
before,144
levels,143
inequalities,143
clearly,143
now,143
into,142
still,142
various,142
find,142
course,141
2012,141
piketty,141
small,140
chapter,140
gdp,139
based,139
economy,138
11,138
observed,137
make,137
eighteenth,137
1910,136
nevertheless,136
number,135
while,135
prices,135
end,135
might,135
difficult,135
lower,134
take,133
1950,132
again,132
thus,132
decades,130
power,130
used,130
estimates,130
too,130
figures,129
accounts,129
1970,128
indeed,128
property,127
clear,127
productivity,126
flow,126
upper,124
term,124
nothing,124
compared,123
centuries,123
12,123
individual,123
given,123
until,122
slightly,122
including,122
importance,122
sure,121
hierarchy,120
significant,120
true,119
price,119
relatively,119
future,117
above,117
few,117
worth,116
revolution,116
wealthy,116
almost,116
according,116
returns,116
say,115
education,115
international,115
equal,115
japan,114
close,114
roughly,114
seems,114
capita,113
terms,112
amount,112
1980,112
my,112
societies,111
15,111
process,110
reason,110
25,110
demographic,110
several,110
british,109
1914,109
accumulation,109
great,106
industrial,106
like,106
asset,106
second,105
investment,104
never,104
under,104
1945,104
fr,103
40,103
rent,103
concentration,102
100,102
workers,102
sometimes,101
view,101
life,100
pse,100
paris,100
ens,100
words,100
book,100
fairly,99
capital21c,99
whose,99
paid,99
back,99
account,99
come,99
table,99
capitalism,98
made,98
bank,97
study,97
enough,97
good,97
decrease,96
barely,95
similar,95
investments,95
profits,95
middle,95
zero,95
services,95
shocks,94
although,94
sense,93
de,93
change,93
means,93
banks,93
need,93
largely,93
simply,93
use,93
already,93
theory,93
due,93
four,92
among,92
everyone,92
idea,92
practice,92
cases,92
rose,92
once,92
china,91
age,91
taxation,91
difference,91
extreme,91
crisis,91
information,90
form,90
class,90
cannot,89
economists,89
living,89
general,89
changes,89
though,89
1970s,88
firm,88
another,88
look,88
structure,88
extremely,88
significantly,86
substantial,86
1980s,86
natural,85
developed,85
money,85
particularly,85
35,85
60,85
firms,84
doubt,84
useful,84
being,83
forces,83
marginal,83
probably,83
minimum,83
set,82
continue,82
2013,82
obviously,82
problem,82
better,82
pure,82
interesting,82
here,81
1990,81
likely,81
relative,81
every,80
institutions,80
ownership,79
fiscal,79
size,79
think,79
groups,79
rapidly,78
increases,78
group,78
goods,78
larger,78
perhaps,78
recent,77
within,77
third,77
show,77
extent,76
major,76
production,76
forms,76
fortune,76
limited,76
allow,75
1913,75
university,75
magnitude,75
late,75
2000,75
noted,75
points,74
whether,74
her,73
resources,73
dynamics,73
shares,73
billion,73
explain,73
smaller,73
largest,73
rest,72
american,72
ii,72
domestic,72
differences,72
our,72
negative,71
divergence,71
toward,71
purchasing,71
effect,71
published,71
health,71
reasons,71
best,70
rents,70
equivalent,70
later,69
next,69
poor,69
monetary,69
1900,69
70,69
analysis,69
funds,69
democratic,68
things,68
become,68
etc,68
seem,68
me,68
simple,68
detailed,67
imagine,67
principle,67
turn,67
debate,67
saving,66
primarily,66
america,66
german,66
overall,66
yet,66
respect,66
gains,66
stable,66
itself,65
person,65
bottom,65
1700,65
sector,65
flows,65
80,65
rights,64
fell,64
14,64
beginning,64
others,64
split,63
changed,63
sum,63
effects,62
estimate,62
previous,62
current,62
accumulated,62
furthermore,62
moreover,62
force,62
governments,62
90,61
complete,61
gifts,61
currently,61
reality,61
month,61
human,61
understand,61
measure,61
six,61
results,60
five,60
highly,60
actually,60
economics,60
give,60
policy,60
main,60
13,60
themselves,60
periods,60
result,59
mean,59
considerable,59
issue,59
throughout,59
development,59
primary,59
ideal,59
model,59
began,59
bonds,58
inegalitarian,58
remains,58
position,58
modern,58
belle,58
speaking,58
poque,58
1820,58
below,58
old,57
conditions,57
amounts,57
type,57
matter,57
mind,57
common,57
became,57
played,56
decreased,56
reduce,56
entirely,56
following,56
logic,55
technology,55
eve,55
kuznets,55
live,55
wealthiest,55
family,55
precisely,55
managers,55
marx,55
called,55
rapid,55
types,54
contrast,54
fundamental,54
earlier,54
impossible,54
phenomenon,54
wars,54
balance,54
rentiers,54
competition,54
accumulate,54
include,54
structural,53
union,53
ways,53
going,53
whole,53
official,53
together,53
statistical,53
shows,53
begin,53
proportion,53
business,53
place,53
500,53
curve,53
ten,53
present,53
press,53
lead,53
gap,53
quarter,52
virtually,52
standard,52
sweden,52
hand,52
taken,52
1870,52
down,52
totally,52
through,52
short,52
generation,52
increasing,51
exist,51
depends,51
authorities,51
growing,51
purpose,51
variations,51
ultimately,51
balzac,50
striking,50
remained,50
perfectly,50
seen,50
statistics,50
obvious,50
explained,49
policies,49
go,49
emerging,49
thirty,49
francs,49
africa,49
la,49
day,49
equilibrium,49
despite,49
1950s,49
additional,49
conclusion,49
right,48
theoretical,48
argument,48
concentrated,48
play,48
born,48
sovereign,48
earned,48
key,48
crucial,48
16,48
fall,48
believe,48
dividends,48
source,48
2008,48
regard,48
included,48
explains,48
hence,48
really,47
shown,47
17,47
single,47
free,47
took,47
continental,47
consider,46
entire,46
1810,46
slaves,46
put,46
held,46
able,46
owns,46
highest,46
precise,46
thomas,46
complex,46
whereas,46
mainly,46
universities,46
closer,46
led,45
austen,45
comes,45
beyond,45
described,45
adopted,45
exactly,45
subject,45
45,45
definition,45
kind,45
redistribution,44
expressed,44
makes,44
function,44
l,44
ever,44
somewhat,44
thing,44
18,44
children,44
24,44
technological,44
attained,44
factors,44
reduced,44
2100,44
situation,43
indicated,43
et,43
directly,43
systems,43
basis,43
1990s,43
finance,43
reflects,43
everything,43
mortality,43
essential,43
corporate,42
records,42
trade,42
factor,42
came,42
comparison,42
necessary,42
issues,42
evolutions,42
unfortunately,42
degree,42
consumption,42
positive,41
everywhere,41
influence,41
young,41
control,41
north,41
vautrin,41
economies,41
concretely,41
needs,41
depending,41
knowledge,41
conversely,41
tables,41
nature,40
found,40
owners,40
rule,40
applied,40
you,40
instance,40
finally,40
grow,40
further,40
21,40
generations,40
last,40
les,39
housing,39
created,39
product,39
adult,39
200,39
italy,39
buildings,39
progress,39
forbes,39
supplemental,39
specific,39
invest,39
enormous,38
estates,38
accounting,38
followed,38
company,38
gold,38
sharply,38
pension,38
established,38
debts,38
earn,38
19,38
access,38
explanation,38
1920,38
discussed,38
modest,37
citizens,37
working,37
owing,37
am,37
banking,37
mechanism,37
en,37
invested,37
retirement,37
limits,37
vast,37
went,37
yield,37
cohorts,37
follows,37
scale,37
le,37
approach,37
suggest,37
trend,37
billionaires,37
stocks,37
consequence,37
questions,37
obtain,37
revenues,36
represents,36
needed,36
former,36
petroleum,36
death,36
owner,36
approximately,36
latter,36
powerful,36
skills,36
perspective,36
remain,36
sharp,36
22,36
orders,36
moment,36
consistent,36
quickly,36
longer,36
regardless,36
related,36
know,36
re,35
observe,35
research,35
off,35
accounted,35
concerning,35
using,35
leading,35
exceeded,35
payments,35
mobility,35
minority,35
m,35
thirds,35
tends,35
canada,35
nominal,35
23,35
exchange,35
equality,35
measures,35
2007,34
spending,34
2011,34
convergence,34
richest,34
endowments,34
p,34
patrimonial,34
increasingly,34
stability,34
corporations,34
26,34
28,34
31,34
legal,34
elasticity,34
relation,34
purely,34
egalitarian,34
inheritances,33
reports,33
household,33
rankings,33
along,33
unequal,33
let,33
methods,33
try,33
deficits,33
avoid,33
india,33
versus,33
farmland,33
journal,33
dynamic,33
left,33
starting,33
heirs,33
positions,33
create,33
compensation,33
add,33
percentage,33
thousandth,33
insurance,33
chinese,33
markets,33
imperfect,33
measured,33
problems,33
collapse,32
models,32
involved,32
move,32
optimistic,32
era,32
typically,32
rules,32
pounds,32
takes,32
mathematical,32
addition,32
disposable,32
answer,32
facts,32
depend,32
surprising,32
compare,32
34,32
south,32
poorest,32
school,32
western,32
federal,32
postwar,32
rastignac,32
decline,32
supply,32
worker,31
values,31
sectors,31
decreases,31
euro,31
defined,31
principal,31
naturally,31
obtained,31
received,31
nor,31
partly,31
assume,31
either,31
27,31
29,31
hard,31
solely,31
33,31
represented,31
proposed,31
added,31
traditional,31
context,31
suggests,31
easy,30
considerably,30
experience,30
impact,30
parents,30
continued,30
tools,30
educational,30
perfect,30
scenario,30
abstract,30
presented,30
households,30
liabilities,30
abroad,30
required,30
becomes,30
deal,30
des,30
majority,30
32,30
serious,30
broadly,30
him,30
analyze,30
heavily,30
choice,29
laws,29
prior,29
d,29
existing,29
occurred,29
pareto,29
salaries,29
affected,29
cost,29
investors,29
plausible,29
composition,29
consequences,29
comparable,29
frequently,29
solution,29
centiles,29
said,29
seven,29
initial,29
colonial,29
u,29
depression,29
agricultural,29
novels,29
1960s,29
profit,29
revenue,29
2000s,29
reduction,29
chapters,29
volume,29
golden,28
expectancy,28
showed,28
absence,28
2010s,28
having,28
organizations,28
t,28
600,28
grew,28
collected,28
introduced,28
universal,28
pensions,28
quarters,28
against,28
basic,28
save,28
automatically,28
examine,28
members,28
done,28
reached,28
comparisons,28
1960,28
endowment,28
steadily,28
direction,28
cambridge,28
demand,28
1789,28
gradually,28
employment,28
readers,27
saw,27
corresponds,27
receive,27
taxed,27
transparency,27
reasonable,27
notion,27
ahead,27
usually,27
produce,27
inevitably,27
truly,27
pace,27
claim,27
durable,27
limit,27
portion,27
princeton,27
transfers,27
correct,27
numbers,27
2009,27
advanced,27
known,27
advantage,27
regulation,27
something,27
english,27
unprecedented,27
determined,26
concrete,26
2050,26
compression,26
justice,26
portfolios,26
achieve,26
skill,26
equally,26
harvard,26
making,26
mechanisms,26
recall,26
implies,26
democracy,26
executive,26
gift,26
civil,26
medium,26
leads,26
gives,26
reach,26
recently,26
meritocratic,26
goriot,26
ones,26
record,26
reliable,25
want,25
similarly,25
nation,25
elsewhere,25
seemed,25
decade,25
infinite,25
substitution,25
evidence,25
goal,25
objective,25
reform,25
justified,25
strong,25
tend,25
neither,25
bequests,25
coefficient,25
1770,25
remuneration,25
get,25
thought,25
slight,25
1987,25
twice,25
ensure,25
1800,25
sciences,25
innovation,25
associated,25
apply,25
choose,25
depreciation,25
vary,24
cumulative,24
understanding,24
logical,24
method,24
1920s,24
fund,24
budget,24
index,24
inevitable,24
spectacular,24
1930s,24
fully,24
gime,24
conflict,24
servants,24
immediately,24
consists,24
decided,24
ancien,24
contemporary,24
across,24
gates,24
lifetime,24
represent,24
oil,24
difficulty,24
bill,24
planet,24
36,24
apparently,24
exists,24
ought,24
risk,24
catch,24
arbitrary,24
existed,24
regime,24
allows,24
meaning,24
contributions,24
parity,24
absolute,23
raises,23
allowed,23
foundations,23
closely,23
truth,23
bring,23
spain,23
cohort,23
drop,23
functions,23
aging,23
transformation,23
infrastructure,23
easily,23
consume,23
raise,23
spend,23
climate,23
wealthier,23
detail,23
classes,23
apart,23
goes,23
revenus,23
decisions,23
ricardo,23
contrary,23
whom,23
widely,23
rentier,23
taxpayers,23
exceed,23
effective,22
nations,22
lessons,22
imposed,22
jane,22
divided,22
formula,22
opposite,22
merit,22
anything,22
ago,22
purposes,22
produced,22
surely,22
hope,22
replacement,22
indices,22
losses,22
balanced,22
explosion,22
discussion,22
southern,22
challenges,22
decide,22
hundred,22
creation,22
probate,22
management,22
deposits,22
japanese,22
globalization,22
attempt,22
grows,22
effort,22
response,22
energy,22
benefits,22
rebound,22
justification,22
soviet,22
assuming,22
buy,22
thanks,22
rely,22
1929,22
paying,22
justify,22
provided,22
includes,22
strategy,22
stockholders,22
instead,22
york,22
favor,22
slave,22
transfer,22
currency,21
alone,21
studies,21
optimal,21
si,21
satisfactory,21
2030,21
studying,21
economist,21
eurozone,21
provide,21
occur,21
tried,21
derived,21
robert,21
draw,21
plays,21
upward,21
utility,21
asia,21
fraction,21
efficient,21
threshold,21
mixed,21
alternative,21
300,21
havens,21
38,21
fran,21
eight,21
portfolio,21
exceptional,21
actual,21
cle,21
400,21
automatic,21
jean,21
unemployment,21
cultural,21
rising,21
require,21
ideas,21
strictly,21
machinery,21
agencies,21
schools,20
millions,20
service,20
falling,20
indicate,20
slow,20
jobs,20
combined,20
au,20
evolved,20
introduction,20
conclusions,20
yields,20
categories,20
transmission,20
realize,20
stage,20
interwar,20
1998,20
essentially,20
independent,20
transformed,20
distributions,20
exceptionally,20
soon,20
antiquity,20
lives,20
achieved,20
attention,20
slowly,20
moral,20
potentially,20
distributed,20
controls,20
direct,20
impressive,20
necessarily,20
college,20
stand,20
numerous,20
indefinitely,20
behavior,20
percentile,20
sort,20
kinds,20
looking,19
predictions,19
hauts,19
aside,19
thousand,19
industry,19
returned,19
accept,19
england,19
representative,19
fewer,19
books,19
interests,19
illusion,19
